corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot	author_wikidata_id	work_wikidata_id
ELTeC-pol	POL0096_zmichowska_poganka	POL0096	Żmichowska, Narcyza	Poganka	1819	1876	F	http://viaf.org/viaf/19701612	1846			1846			pl	37362			short	low	T1	Q445845	Q108877461
ELTeC-pol	POL0095_zmichowska_ksiazka-pamiatek	POL0095	Żmichowska, Narcyza	Książka pamiątek	1819	1876	F	http://viaf.org/viaf/19701612	1848			1848			pl	65589			medium	low	T1	Q445845	
ELTeC-pol	POL0034_korzeniowski_emeryt	POL0034	Korzeniowski, Józef	Emeryt	1797	1863	M	http://viaf.org/viaf/37042269	1851			1851			pl	87234			long	low	T1	Q2338973	
ELTeC-pol	POL0032_kaczkowski_murdelio	POL0032	Kaczkowski, Zygmunt	Murdelio	1825	1896	M	http://viaf.org/viaf/35309217	1853			1853			pl	131055			long	high	T1	Q3599561	Q11786686
ELTeC-pol	POL0035_korzeniowski_garbaty	POL0035	Korzeniowski, Józef	Garbaty	1797	1863	M	http://viaf.org/viaf/37042269	1853			1853			pl	98233			long	low	T1	Q2338973	
ELTeC-pol	POL0036_korzeniowski_krewni	POL0036	Korzeniowski, Józef	Krewni	1797	1863	M	http://viaf.org/viaf/37042269	1857			1857			pl	176017			long	low	T1	Q2338973	
ELTeC-pol	POL0031_kaczkowski_grob-nieczui	POL0031	Kaczkowski, Zygmunt	Grób Nieczui	1825	1896	M	http://viaf.org/viaf/35309217	1857			1857			pl	193062			long	high	T1	Q3599561	
ELTeC-pol	POL0094_zmichowska_biala-roza	POL0094	Żmichowska, Narcyza	Biała róża	1819	1876	F	http://viaf.org/viaf/19701612	1858			1858			pl	50303			short	low	T1	Q445845	
ELTeC-pol	POL0003_balucki_przebudzeni	POL0003	Bałucki, Michał	Przebudzeni	1837	1901	M	http://viaf.org/viaf/70005089	1864			1864			pl	49056			short	high	T2	Q1894116	
ELTeC-pol	POL0043_lozinski-wladyslaw_czarne-godziny	POL0043	Łoziński, Władysław	Czarne godziny	1843	1913	M	http://viaf.org/viaf/56900155	1869			1869			pl	81758			medium	low	T2	Q4265443	
ELTeC-pol	POL0046_marrene_bozek-miljon	POL0046	Marrené-Morzkowska, Waleria	Bożek Miljon	1832	1903	F	http://viaf.org/viaf/84265477	1871			1871			pl	50650			medium	low	T2	Q9370417	Q108847368
ELTeC-pol	POL0048_marrene_roza	POL0048	Marrené-Morzkowska, Waleria	Róża	1832	1903	F	http://viaf.org/viaf/84265477	1872			1872			pl	65132			medium	low	T2	Q9370417	Q9325774
ELTeC-pol	POL0055_orzeszkowa_marta	POL0055	Orzeszkowa, Eliza	Marta	1841	1910	F	http://viaf.org/viaf/44349228	1873			1873			pl	65886			medium	high	T2	Q240174	Q131562240
